OBJECTID,NR_STIMMBEZIRK800,WLK_NAME,WLK_ADRESSE,ROLLSTUHLGERECHT,WLK_BEMERKUNG,ABSTIMMBEZIRK,WLK_STADTTEIL,POSTZUSTELLBEZIRK,AD_NUMMER,KOORX,KOORY,STIMMBEZIRK_STADTTEIL,KOMMUNALWAHLBEZIRK,LANDTAGSWAHLKREIS,BUNDESTAGSWAHLKREIS
162,90605,GGS Von-Bodelschwingh-Str.,Von-Bodelschwingh-Str. 24,1,,90605,Höhenhaus,51061,03210002400,781990.0616,6618798.0088,Höhenhaus,38,19,101
163,40124,Astrid-Lindgren-Schule,Borsigstr. 13,0,,40124,Ehrenfeld,50825,00513001300,768849.8937,6613686.9262,Ehrenfeld,24,15,95
164,80101,Berufskolleg Usingerstr.,Usingerstr. 24,1,,80101,Humboldt/Gremberg,51105,03167002400,779092.8616,6609398.8685,Humboldt/Gremberg,42,18,93
165,80204,Kaiserin-Theophanu-Schule,Kantstr. 3,1,,80204,Kalk,51103,01717000300,780114.2241,6610153.5581,Kalk,42,18,93
166,30706,Clarenhofschule,Schulstr. 2,1,,30706,Weiden,50859,05469000200,760091.3877,6610287.7558,Weiden,21,14,94
167,20510,St.-Nikolaus-Schule,Bernkasteler Str. 9,1,,20510,Zollstock,50969,00443000900,772435.6077,6605002.609,Zollstock,13,13,94
168,20518,Ev. Kirchengemeinde,Bornheimer Str. 1a,1,,20518,Zollstock,50969,00512000101,772870.6668,6604977.3269,Zollstock,13,13,94
169,10505,Berufskolleg Deutzer Freiheit,Eumeniusstr. 4,1,,10505,Deutz,50679,00910000400,777090.8993,6609978.6505,Deutz,06,18,93
170,60502,GGS Soldiner Str.,Soldiner Str. 68,1,,60502,Lindweiler,50767,03582006800,766684.839,6622347.8737,Lindweiler,28,16,95
171,50122,Mathilde-von-Mevissen-Grundschule,Gellertstr. 4,1,,50122,Nippes,50733,01084000400,774579.3961,6614716.5104,Nippes,33,15,95
172,20508,Seniorenhaus Rosenpark,Bernhard-Feilchenfeld-Str. 5,1,,20508,Zollstock,50969,03570000500,772956.8265,6606270.6099,Zollstock,13,13,94
173,40215,Eichendorff-Realschule,Dechenstr. 1,1,,40215,Neuehrenfeld,50825,00686000100,769890.0289,6614021.0009,Neuehrenfeld,23,15,95
174,20604,Anne-Frank-Schule,Adlerstr. 13,1,,20604,Rondorf,50997,04007001300,775241.78,6599530.5914,Rondorf,15,13,94
175,90122,KGS Luzerner Weg,Luzerner Weg 72,1,,90122,Mülheim,51063,02090007200,780179.8604,6618850.6691,Mülheim,37,19,101
176,30317,GGS Freiligrathstr.,Freiligrathstr. 60,1,,30317,Lindenthal,50935,01017006000,768383.5309,6607607.7747,Lindenthal,18,14,94
177,10217,Humboldt-Gymnasium,Kartäuserwall 40,1,,10217,Altstadt/Süd,50676,01741004000,773535.0759,6608347.9548,Neustadt/Süd,02,13,94
178,90906,Regenbogenschule,Peter-Grieß-Str. 5-7,0,,90906,Flittard,51061,02503000500,778209.6397,6620802.9438,Flittard,37,19,101
179,61001,GGS Ernstbergstr.,Ernstbergstr. 2,1,,61001,Blumenberg,50765,03670000200,766107.9472,6628380.9611,Blumenberg,27,16,95
180,80809,Bürger- und Vereinszentrum e.V.,Rösrather Str. 603,1,,80809,Rath/Heumar,51107,02688060300,788682.9299,6607676.8572,Rath/Heumar,41,17,93
181,90509,GGS Dellbrücker Hauptstr.,Dellbrücker Hauptstr. 16,1,,90509,Dellbrück,51069,00698001600,787665.8138,6616533.9769,Dellbrück,39,19,101
182,60606,Schulzentrum Pesch,Schulstr. 18,1,,60606,Pesch,50767,05466001800,764958.7355,6620963.8559,Pesch,28,16,95
